x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
B,C,A,B,A,A,0.37,0.17,1.17,0.62,-0.13,-1.06,1.51,-0.03
C,C,A,A,B,A,1.72,-0.04,2.84,0.25,-0.25,3.04,1.29,1.51
C,C,B,B,A,A,-0.31,0.51,-0.97,0.24,1.67,0.02,0.55,0.99
B,C,C,A,B,B,-0.09,0.01,,2.25,0.2,2.56,0.67,1.64
,B,D,B,B,A,1.85,-0.03,-1.34,,1.42,-1.02,0.5,0.42
B,A,B,B,B,B,2.1,0.07,0.78,0.01,4.28,-1.44,2.46,-0.95
A,C,B,A,A,B,0.99,-1.24,,0.04,10.9,0.31,1.73,1.78
,C,B,A,A,B,1.03,0.0,-1.53,0.04,0.67,-2.69,0.62,-1.47
B,B,A,B,A,B,0.71,0.0,1.28,1.94,0.81,0.72,0.37,-2.84
A,C,B,B,A,B,1.55,-0.35,1.82,0.18,3.74,0.06,1.46,-0.58
A,B,C,B,A,B,1.73,1.53,,,0.87,-1.35,1.48,-2.05
B,B,C,A,B,A,-0.05,-0.23,,,-0.1,0.4,0.28,-0.75
,C,D,A,B,B,0.72,-0.01,0.53,0.04,3.17,-1.49,0.71,1.29
C,C,A,A,A,B,-0.09,-0.0,-0.54,2.65,-0.03,-0.59,0.34,1.7
C,A,B,B,A,A,2.2,4.64,0.14,0.02,0.14,-0.14,0.67,0.02
A,B,C,B,A,B,2.68,0.09,2.43,4.06,7.54,0.98,2.0,0.34
C,A,D,B,A,A,0.58,0.17,0.01,1.26,-0.22,-1.18,0.82,1.64
B,B,B,A,A,A,1.26,-1.52,,0.15,-0.25,-0.11,0.29,1.85
A,A,C,B,A,A,1.0,0.04,0.09,,0.85,-0.85,1.0,-3.31
B,C,A,B,A,B,1.21,0.1,2.96,0.01,0.4,-1.36,1.37,-0.43
B,C,A,A,A,A,-0.75,-1.22,,,4.84,1.35,2.07,-0.6
B,C,B,B,B,A,1.4,-0.0,1.47,0.08,-0.2,0.37,1.13,0.52
,A,C,A,B,B,-0.16,0.0,0.07,0.1,0.69,0.52,0.57,1.2
B,A,B,A,A,A,0.37,0.01,0.09,,-0.02,-0.3,0.1,-1.61
A,A,A,A,A,B,0.52,0.04,0.42,1.96,6.76,-0.1,1.59,2.02
B,A,B,B,A,B,2.1,-1.26,4.53,1.89,-0.25,-0.67,1.73,-1.68
A,B,B,A,A,A,-0.58,-0.36,1.26,0.31,0.98,-0.68,0.26,-2.56
C,A,D,A,A,A,0.23,0.01,0.72,0.0,0.39,1.6,1.73,1.26
