target,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
3220.0,B,A,C,A,B,A,-0.32,1.5,-0.82,0.78,1.18,3.32,0.8,0.53
3188.0,A,A,C,B,A,B,1.54,0.0,,0.02,-0.18,-1.58,0.32,-0.9
3433.0,,C,C,B,A,B,1.74,0.32,0.82,,0.25,-1.8,0.92,0.09
3260.0,B,C,C,B,B,B,3.43,1.71,0.62,0.75,-0.25,-2.46,1.23,-1.63
3207.0,B,C,B,B,A,A,-2.12,-0.01,-0.53,0.86,-0.22,-2.55,0.67,5.33
3321.0,B,C,B,B,A,A,0.83,0.61,-0.66,1.23,0.06,-1.12,1.18,-3.82
3717.0,B,C,B,B,A,B,0.5,-0.04,3.47,2.21,4.96,0.34,1.97,1.2
3383.0,B,C,B,B,B,B,0.94,0.0,1.61,0.39,-0.22,-0.04,1.89,-0.36
3274.0,A,B,B,A,B,B,-0.31,-0.01,0.08,1.24,-0.18,-0.33,2.24,1.07
3179.0,B,B,B,A,A,B,0.66,0.01,,0.28,2.4,1.47,1.29,-0.46
3179.0,C,C,D,A,A,B,2.14,0.05,,0.24,0.16,0.91,0.31,-1.95
3215.0,B,B,C,A,B,B,-0.38,-0.25,0.01,,0.01,0.13,1.51,3.14
3161.0,B,A,D,B,A,B,3.03,0.07,0.04,0.0,-0.23,-3.11,1.74,-1.71
3344.0,B,C,A,A,B,B,0.84,0.0,,,4.49,-0.18,0.46,-1.87
3160.0,A,B,B,B,B,A,-0.42,-0.12,,1.33,3.0,1.66,2.53,0.85
3543.0,C,C,B,,A,B,0.86,0.01,3.26,2.69,-0.25,-1.45,0.5,1.04
3375.0,C,C,C,A,B,A,2.51,1.01,,,-0.06,2.95,2.06,0.78
3388.0,B,B,C,B,B,B,1.71,1.17,1.34,0.27,0.26,-0.33,1.2,0.48
3202.0,C,C,B,A,A,A,-2.53,-0.14,-0.58,0.18,0.48,-0.66,1.01,0.25
3142.0,A,B,C,B,A,B,2.06,-0.02,-0.84,0.0,1.37,-1.86,1.31,-0.2
3500.0,B,B,B,B,A,B,1.77,0.14,,2.79,-0.24,-3.26,1.56,-0.55
3088.0,A,C,B,B,A,B,2.96,0.01,,0.06,-0.07,-0.66,1.03,-0.5
3127.0,,B,A,A,A,A,0.9,-0.19,-0.41,0.03,-0.2,-1.18,2.19,2.81
3497.0,A,C,C,B,A,B,2.47,0.05,2.61,2.19,0.64,-0.16,1.8,-1.68
3553.0,C,C,C,B,A,B,0.83,0.15,1.02,0.2,4.62,-0.52,0.17,1.49
3313.0,,C,B,A,A,A,0.2,-0.85,,0.77,4.58,0.78,1.1,2.96
